"fecha_corte","nombre_entidad","nombre_patrimonio","rendimientos_abonados","precierre_fondo_dia_t","numero_unidades_fondo_cierre_oper_dia_t_anterior","valor_unidad_operaciones_dia_t","aportes_recibidos","retiros_redenciones","anulaciones","valor_fondo_cierre_dia_t","numero_inversionistas","rentabilidad_diaria","rentabilidad_mensual","rentabilidad_semestral","rentabilidad_anual"
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",19401594.48,52804851851.21,4955300.144951,10656.236818,0,0,0,52804851851.21,68,14.354512,14.540569,9.537719,6.343275
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",82548822.84,221424827303,20750647.357778,10670.743109,0,0,0,221424827303,85,14.579657,14.674783,9.708607,6.481433
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",30353566.6,80834037646.52,7563949.631461,10686.749858,0,0,0,80834037646.52,13,14.692561,14.774746,9.886269,6.679074
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",57005782.75,147045112460.2,13705902.622424,10728.597489,0,0,0,147045112460.2,10,15.203389,15.310888,10.284166,7.02456
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",80696353.47,205992401179.14,19164358.28162,10748.724176,0,0,0,205992401179.14,8,15.374675,15.423587,10.447372,7.212831
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",76304190.61,193439503837.3,17965342.213028,10767.370949,0,0,0,193439503837.3,2,15.489148,15.563011,10.595216,7.385384
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",8862874.56,23350655474.37,2183088.064352,10696.158279,0,0,0,23350655474.37,306,14.862334,14.939861,9.992823,6.752375
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",15729900.86,40717228901.53,3797335.949177,10722.577472,0,0,0,40717228901.53,23,15.146406,15.226501,10.24041,7.000831
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CASH CONSERVADOR ALIANZA 1525",4733283.45,12040854850.87,1131342.955449,10642.975053,0,0,0,12040854850.87,2,15.431884,15.52627,10.471662,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO MAS COLOMBIA OPPORTUNITY",-6335.32,2666991372.91,151737.713896,17576.324992,0,0,0,2666991372.91,3,-0.086666,7524.112361,137.997589,33.348345
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA ACCIONES",-28193.13,1164876374.77,116241.377189,10021.185252,0,0,0,1164876374.77,1,-0.879497,82.160081,-8.158788,-5.337511
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA ACCIONES",-114.18,1762047.84,167.391382,10526.51468,0,0,0,1762047.84,1,-2.337359,62.970361,-10.969606,-7.49155
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA ACCIONES",-154772.79,2388581715.23,225554.425578,10589.824204,0,0,0,2388581715.23,313,-2.337265,76.692049,-9.157283,-6.555489
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA ACCIONES",-181440.01,3124369718.43,292068.465376,10697.388074,0,0,0,3124369718.43,32,-2.09728,81.263846,-9.174132,-6.441894
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA ACCIONES",-145534.52,3367224395.29,308948.80641,10898.972016,0,0,0,3367224395.29,7,-1.565151,81.57954,-9.223495,-6.215746
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA ACCIONES",-80465.73,2128695662.76,201464.568057,10566.104419,0,0,0,2128695662.76,5,-1.370218,81.178842,-8.620466,-6.065808
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA ACCIONES",-27.07,2568184.32,291.848944,8799.704,0,0,0,2568184.32,1,-0.383988,82.867218,-7.716633,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",2593153.47,6698660966.9,419847.326239,15954.992561,0,0,0,6698660966.9,1165,15.179823,13.602545,8.174995,3.107189
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",2742155.38,6980588890.77,429101.245455,16267.92969,0,0,0,6980588890.77,76,15.420245,13.819443,8.405946,3.343796
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",3506252.96,8797515851.59,531783.105446,16543.42863,0,0,0,8797515851.59,24,15.661759,14.054711,8.65001,3.58732
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",1354121.37,3358935327.4,198291.796169,16939.356001,0,0,0,3358935327.4,3,15.855761,14.255839,8.848035,3.783919
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",8819889.12,20303865137.28,1450205.272371,14000.683575,0,0,0,20303865137.28,8,17.18556,16.125718,10.656954,4.932757
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",25693.84,62661629.18,4592.935769,13643.044957,0,0,0,62661629.18,6,16.148072,14.539775,9.141057,4.077638
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",600269.51,1488984956.57,115362.864316,12906.969374,0,0,0,1488984956.57,12,15.855762,14.25584,8.848035,3.783919
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",2326635.66,5674146285.66,549840.855581,10319.615627,0,0,0,5674146285.66,1,16.148093,14.539776,9.141056,4.077637
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90",6050443.8,13302126291.04,1267174.932646,10497.46641,0,0,0,13302126291.04,3,18.064068,16.960099,11.480838,5.71687
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA RENTA FIJA MERCADOS EMERGENTE",159981.7,2638078942.39,182461.710473,14458.260506,0,0,0,2638078942.39,18,2.238227,13.37691,29.412419,0.265894
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA RENTA FIJA MERCADOS EMERGENTE",1431302.55,14530526549.07,942513.959234,15416.77596,0,0,0,14530526549.07,1,3.660963,10.757217,30.392557,1.340673
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA RENTA FIJA MERCADOS EMERGENTE",13991777.21,150347826759.41,9547307.931055,15747.667075,0,0,0,150347826759.41,10,3.455302,16.216223,31.237038,1.570848
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA CON PACTO DE PERMANENCIA MÍNIMA DIVERSIFICACIÓN INMOBILIARIA COLOMBIA",1105095.13,202950314.87,37288.940075,5442.641021,0,0,0,202950314.87,18,633.685986,221.013545,-66.788986,-36.728812
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA CON PACTO DE PERMANENCIA MÍNIMA DIVERSIFICACIÓN INMOBILIARIA COLOMBIA",984419.18,180788223.93,32957.148348,5485.554212,0,0,0,180788223.93,2,633.685962,221.063532,-66.773823,-36.701428
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA CON PACTO DE PERMANENCIA MÍNIMA DIVERSIFICACIÓN INMOBILIARIA COLOMBIA",1833827.7,336781783.2,58442.339815,5762.633465,0,0,0,336781783.2,1,633.685989,221.037091,-66.774284,-36.676122
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA CON PACTO DE PERMANENCIA MÍNIMA DIVERSIFICACIÓN INMOBILIARIA COLOMBIA",898574.93,164614346.12,29222.558425,5633.125742,0,0,0,164614346.12,1,637.334416,222.439401,-66.611019,-36.347521
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA CON PACTO DE PERMANENCIA MÍNIMA DIVERSIFICACIÓN INMOBILIARIA COLOMBIA",207655.98,38041518.32,5845.081915,6508.295157,0,0,0,38041518.32,1,637.33436,222.637051,-66.607595,-36.346035
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA MINIMA ALIANZA RENTA FIJA HIGH YIELD",702979.13,5711841776.35,465878.802113,12260.359884,0,0,0,5711841776.35,49,4.594917,-4.817382,35.277832,9.734769
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA MINIMA ALIANZA RENTA FIJA HIGH YIELD",220000.43,1712517021.7,152252.284806,11247.890459,0,0,0,1712517021.7,1,4.801002,-4.576082,35.557048,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA MINIMA ALIANZA RENTA FIJA HIGH YIELD",622029.37,4219391553.86,335427.444713,12579.148249,0,0,0,4219391553.86,10,5.528708,-3.961814,36.486077,10.715131
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA MINIMA ALIANZA RENTA FIJA HIGH YIELD",500705.19,3275550287.16,259449.964216,12624.978759,0,0,0,3275550287.16,1,5.738478,-3.761274,36.7595,10.936128
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA MINIMA ALIANZA RENTA FIJA HIGH YIELD",71789.7,424174521.86,32501.020598,13051.113905,0,0,0,424174521.86,2,6.372819,-3.599692,37.479629,11.560779
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA",1627325.79,6734813711.95,610027.265358,11040.18475,0,0,0,6734813711.95,301,9.221224,11.505108,9.441599,7.141582
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA",5937746.57,24042895675.88,2172124.970407,11068.836279,0,0,0,24042895675.88,252,9.434198,10.99758,9.509632,7.27897
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA",8127067.64,32382198731.51,2919988.194374,11089.838923,0,0,0,32382198731.51,93,9.594473,11.301112,9.741327,7.399516
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA",4723083.19,18235278012.06,1643620.285071,11094.580773,0,0,0,18235278012.06,12,9.916431,12.816487,9.873814,7.603161
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA",177520.96,561925625.1,50102.590029,11215.500532,0,0,0,561925625.1,1,12.224073,14.504402,13.337589,11.371384
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA",2043985.91,7891593130.63,709022.270246,11130.247189,0,0,0,7891593130.63,4,9.916431,10.239694,9.818689,7.575942
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA",6833026.77,22606511464.19,1948621.930603,11601.281454,0,0,0,22606511464.19,1,11.665912,13.981014,12.78159,10.82126
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA CERRADO SENTENCIAS NACIÓN ALIANZA",14042112.71,30557457225.18,2500833.620219,12218.908518,0,0,0,30557457225.18,112,18.266165,15.702969,14.74336,15.141981
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA CERRADO SENTENCIAS NACIÓN ALIANZA",3473652.85,6427491468.71,5e+05,12854.982937,0,0,0,6427491468.71,1,21.812495,19.17265,18.184345,18.587133
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA CERRADO SENTENCIAS NACIÓN ALIANZA",1515192.77,3297255835.15,270005.182487,12211.82425,0,0,0,3297255835.15,3,18.266165,15.702968,14.74336,15.134671
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA CERRADO SENTENCIAS NACIÓN ALIANZA",8197230,16404707673.87,1309263.203403,12529.724834,0,0,0,16404707673.87,1,20.013203,17.412247,16.438501,16.843924
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA RENOVABLE BALANCEADO MODERADO ALIANZ",43618.69,93875542.22,9834.652767,9545.384514,0,0,0,93875542.22,7,18.487159,14.646552,-1.586584,-4.22742
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA RENOVABLE BALANCEADO MODERADO ALIANZ",171061.47,362922164.79,37917.857895,9571.272876,0,0,0,362922164.79,3,18.777452,14.768985,-1.368282,-4.003353
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA RENOVABLE BALANCEADO MODERADO ALIANZ",945569.03,1872059669.1,185000,10119.241455,0,0,0,1872059669.1,2,20.250449,16.380977,0,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA RENOVABLE BALANCEADO MODERADO ALIANZ",1821602.31,3466114259.09,353974.407015,9791.991145,0,0,0,3466114259.09,1,21.15187,17.273385,0.634798,-2.068853
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA RENTA FIJA LOCAL AAA",3698927.75,8080523066.47,820933.031357,9843.096523,0,0,0,8080523066.47,1,18.189619,15.043834,4.749278,-1.517441
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA RENTA FIJA LOCAL AAA",1516656.13,3522837955.78,361395.465442,9747.875368,0,0,0,3522837955.78,13,17.019926,13.90519,3.712259,-2.492583
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA RENTA FIJA LOCAL AAA",813030.81,1859183577.85,190216.166024,9774.056626,0,0,0,1859183577.85,1,17.310179,14.187738,3.969589,-2.250607
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO SENTENCIAS NACIÓN II ALIANZA",16813801.95,28526668920.79,2612495.896936,10919.316258,0,0,0,28526668920.79,108,24.010589,21.469558,16.146713,9.138281
